Event_ID,Event_Date,Account,Post_ID,Campaign_ID,Discount_Code,Product,Revenue_INR,Quantity,Customer_City,City_Tier,First_Time_Buyer,Attribution_Window_Days,Refund_Flag,Payment_Status,UTM_Source,Lead_Score,Notes
EVT-000015,2025-08-30,UrbanPaws,PST-00180,CAM-2510-001,,Protein Bar,2499.0,2,Bengaluru,Tier 3,,1,No,Refunded,Instagram,12,Coupon mismatch
EVT-000016,2025-10-18,SareeStreet,PST-00108,UNKNOWN-CAM,,Dog Treats,7998.0,2,Hyderabad,Metro,Yes,7,No,Pending,paid_social,49,Late attribution
EVT-000017,2025-10-08,SareeStreet,PST-00344,UNKNOWN-CAM,,Combo Pack,999.0,2,Delhi NCR,Tier 2,,14,No,Paid,instagram,68,
EVT-000018,2026-01-06,FitFuel India,PST-00217,UNKNOWN-CAM,,Cold Brew,5999.0,1,Mumbai,Metro,yes,7,Yes,Paid,,63,Late attribution
EVT-000019,2025-10-07,CafeCanvas,PST-00413,UNKNOWN-CAM,,Cold Brew,1197.0,1,Hyderabad,Tier 3,yes,45,Yes,Paid,influencer,44,Manual entry
EVT-000020,2025-11-04,CafeCanvas,PST-00425,,,Combo Pack,4497.0,1,Chennai,Tier 1,,7,No,Paid,instagram,56,
EVT-000021,2025-08-09,FitFuel India,PST-00328,UNKNOWN-CAM,,Cold Brew,1499.0,3,Lucknow,Tier 3,,14,No,Paid,bio_link,21,
EVT-000022,2025-09-10,FitFuel India,PST-00559,UNKNOWN-CAM,,Smart Lamp,599.0,4,Mumbai,Tier 1,,7,Yes,Pending,paid_social,73,Manual entry
EVT-000023,2025-08-24,ByteBazaar,PST-00274,CAM-2507-058,CAF36,Smart Lamp,7497.0,1,Hyderabad,Tier 2,No,7,No,Refunded,influencer,100,
EVT-000024,2025-12-10,GlowKart,PST-00187,,,Protein Bar,17997.0,4,Kolkata,Tier 1,Unknown,3,Yes,Paid,influencer,43,Manual entry
EVT-000025,2025-11-19,GlowKart,PST-00092,CAM-2507-030,URB36,Smart Lamp,599.0,3,Indore,Tier 3,Yes,1,Yes,Failed,paid_social,54,Late attribution
EVT-000026,2025-11-17,CafeCanvas,PST-00070,,,Combo Pack,799.0,4,Lucknow,Metro,No,7,No,Paid,paid_social,46,Manual entry
EVT-000027,2025-12-19,FitFuel India,PST-00089,CAM-2508-046,GLO17,Silk Saree,7497.0,2,Lucknow,Tier 1,Unknown,3,No,Refunded,instagram,81,Coupon mismatch
EVT-000028,2025-12-02,CafeCanvas,PST-00609,,,Dog Treats,3999.0,3,Lucknow,Tier 3,No,7,No,Failed,ig_reels,11,Coupon mismatch
EVT-000029,2026-01-30,FitFuel India,PST-00391,CAM-2510-042,WELCOME,Smart Lamp,11998.0,3,Jaipur,Tier 3,Unknown,14,No,Paid,bio_link,98,
EVT-000030,2025-12-19,GlowKart,PST-00641,CAM-2512-018,BADCODE,Dog Treats,2998.0,2,Hyderabad,Tier 1,Yes,45,No,Refunded,,50,Manual entry
EVT-000031,2025-09-30,SareeStreet,PST-00228,CAM-2511-010,,Combo Pack,1999.0,3,Indore,Tier 1,Unknown,1,No,Paid,,3,Late attribution
EVT-000032,2025-12-08,ByteBazaar,PST-00298,UNKNOWN-CAM,,Combo Pack,7998.0,1,Hyderabad,Metro,Unknown,30,No,Paid,bio_link,98,Late attribution
EVT-000033,2026-02-02,CafeCanvas,PST-00082,CAM-2508-008,SAR25,Dog Treats,799.0,1,Bengaluru,Metro,Unknown,14,No,Paid,,39,Coupon mismatch
EVT-000034,2025-11-29,SareeStreet,PST-00551,CAM-2511-053,GLO15,Combo Pack,799.0,2,Chennai,Tier 3,Yes,3,Yes,Failed,instagram,62,
EVT-000035,2025-08-27,CafeCanvas,PST-00291,CAM-2507-048,BYT20,Protein Bar,7998.0,4,Lucknow,Tier 3,Yes,1,No,Pending,ig_reels,71,
EVT-000036,2026-02-06,CafeCanvas,PST-00534,CAM-2510-001,,Dog Treats,11998.0,3,Kolkata,Tier 1,,7,No,Paid,paid_social,42,
EVT-000037,2026-03-09,FitFuel India,PST-00466,CAM-2510-023,,Combo Pack,1499.0,3,Indore,Metro,yes,45,No,Failed,ig_reels,41,Manual entry
EVT-000038,2026-01-24,CafeCanvas,PST-00467,CAM-2507-026,GLO35,Gift Card,2499.0,2,Hyderabad,Tier 3,Yes,14,No,Pending,bio_link,22,Coupon mismatch
EVT-000039,2025-08-07,ByteBazaar,PST-00312,UNKNOWN-CAM,,Smart Lamp,5999.0,1,Kolkata,Tier 3,yes,3,No,Refunded,ig_reels,67,Coupon mismatch
EVT-000040,2025-11-02,UrbanPaws,PST-00401,CAM-2510-059,GLO31,Cold Brew,1499.0,4,Kolkata,Tier 2,No,45,Yes,Refunded,,98,Coupon mismatch
EVT-000041,2026-01-25,ByteBazaar,PST-00054,CAM-2507-026,GLO35,Gift Card,5999.0,1,Mumbai,Tier 3,No,3,No,Paid,paid_social,49,Manual entry
EVT-000042,2025-12-31,ByteBazaar,PST-00048,CAM-2509-029,SAR31,Gift Card,1999.0,3,Chennai,Tier 2,yes,30,Yes,Paid,Instagram,71,Late attribution
EVT-000043,2025-09-23,FitFuel India,PST-00399,UNKNOWN-CAM,,Combo Pack,1797.0,2,Lucknow,Tier 1,No,1,Yes,Failed,paid_social,11,Coupon mismatch
EVT-000044,2026-01-17,CafeCanvas,PST-00101,CAM-2511-053,GLO15,Dog Treats,5997.0,3,Indore,Metro,Unknown,7,No,Pending,instagram,45,Late attribution
EVT-000045,2025-11-30,FitFuel India,PST-00649,,,Dog Treats,999.0,3,Pune,Metro,yes,30,No,Paid,instagram,1,Manual entry
EVT-000046,2025-12-07,ByteBazaar,PST-00198,CAM-2508-008,WELCOME,Silk Saree,5997.0,4,Mumbai,Metro,,1,No,Paid,Instagram,76,
EVT-000047,2025-12-31,UrbanPaws,PST-00091,,,Protein Bar,2997.0,3,Pune,Tier 1,Yes,14,No,Paid,,14,
EVT-000048,2026-01-14,CafeCanvas,PST-00309,UNKNOWN-CAM,,Dog Treats,3999.0,1,Kolkata,Tier 2,,14,No,Paid,Instagram,5,Manual entry
EVT-000049,2026-01-26,FitFuel India,PST-00419,CAM-2510-004,WELCOME,Dog Treats,11997.0,4,Bengaluru,Tier 1,Yes,1,No,Refunded,bio_link,19,Coupon mismatch
EVT-000050,2025-12-05,GlowKart,PST-00441,CAM-2507-048,BYT20,Cold Brew,3999.0,2,Lucknow,Tier 2,Unknown,1,No,Refunded,Instagram,69,
EVT-000051,2025-12-01,ByteBazaar,PST-00590,CAM-2508-047,GLO17,Gift Card,17997.0,1,Pune,Tier 1,,45,No,Refunded,bio_link,47,Coupon mismatch
EVT-000052,2025-09-21,ByteBazaar,PST-00039,CAM-2510-023,,Smart Lamp,1598.0,1,Mumbai,Metro,yes,7,Yes,Failed,Instagram,94,Late attribution
EVT-000053,2026-02-22,ByteBazaar,PST-00242,CAM-2511-041,SAR26,Silk Saree,4998.0,4,Jaipur,Tier 3,yes,3,No,Paid,paid_social,85,Late attribution
EVT-000054,2025-08-07,UrbanPaws,PST-00501,CAM-2507-048,BYT20,Dog Treats,7998.0,1,Pune,Tier 2,Unknown,30,Yes,Paid,bio_link,91,Manual entry
EVT-000055,2025-08-05,ByteBazaar,PST-00154,UNKNOWN-CAM,,Serum A,599.0,1,Delhi NCR,Metro,Yes,30,No,Pending,instagram,99,Manual entry
EVT-000056,2025-12-02,UrbanPaws,PST-00027,CAM-2507-003,GLO18,Serum A,5999.0,2,Indore,Metro,No,30,No,Refunded,bio_link,59,Coupon mismatch
EVT-000058,2025-07-07,ByteBazaar,PST-00012,CAM-2511-049,FIT23,Combo Pack,2499.0,3,Delhi NCR,Tier 3,No,3,Yes,Paid,bio_link,47,Manual entry
EVT-000059,2025-12-24,SareeStreet,PST-00393,,,Dog Treats,2998.0,3,Chennai,Tier 1,No,30,No,Failed,bio_link,47,Manual entry
EVT-000060,2025-09-21,SareeStreet,PST-00047,CAM-2509-011,SAR37,Silk Saree,1197.0,2,Indore,Tier 1,Yes,14,No,Paid,ig_reels,4,Late attribution
EVT-000061,2025-11-27,FitFuel India,PST-00252,UNKNOWN-CAM,,Combo Pack,2998.0,1,Jaipur,Tier 3,Unknown,30,No,Paid,Instagram,72,Coupon mismatch
EVT-000062,2025-10-21,UrbanPaws,PST-00161,CAM-2510-054,URB11,Protein Bar,599.0,3,Kolkata,Tier 3,Unknown,7,Yes,Paid,,39,Coupon mismatch
EVT-000063,2025-11-13,GlowKart,PST-00072,CAM-2511-012,CAF37,Dog Treats,1998.0,4,Indore,Tier 3,No,7,No,Paid,ig_reels,50,Coupon mismatch
EVT-000065,2025-09-25,GlowKart,PST-00186,UNKNOWN-CAM,,Dog Treats,7497.0,4,Lucknow,Tier 3,yes,30,Yes,Paid,bio_link,95,
EVT-000066,2025-12-29,SareeStreet,PST-00393,,,Serum A,11997.0,3,Pune,Tier 3,No,14,Yes,Paid,paid_social,13,Manual entry
EVT-000067,2026-02-07,SareeStreet,PST-00616,,,Protein Bar,599.0,2,Lucknow,Tier 3,yes,1,Yes,Refunded,influencer,29,Late attribution
EVT-000068,2025-10-19,FitFuel India,PST-00160,CAM-2510-023,,Cold Brew,7497.0,4,Jaipur,Tier 2,Yes,1,No,Paid,ig_reels,81,Manual entry
EVT-000069,2026-02-10,SareeStreet,PST-00074,CAM-2508-052,CAF34,Cold Brew,5997.0,4,Jaipur,Tier 3,yes,1,No,Paid,instagram,36,Coupon mismatch
EVT-000070,2026-01-21,CafeCanvas,PST-00330,CAM-2508-046,GLO17,Combo Pack,4497.0,4,Bengaluru,Metro,Yes,30,Yes,Paid,bio_link,70,Late attribution
EVT-000071,2026-03-12,UrbanPaws,PST-00016,CAM-2510-019,FIT31,Serum A,1499.0,3,Indore,Tier 2,No,45,No,Paid,paid_social,100,
EVT-000072,2025-08-07,SareeStreet,PST-00281,CAM-2508-052,WELCOME,Silk Saree,799.0,4,Lucknow,Tier 2,Unknown,1,No,Paid,ig_reels,19,Late attribution
EVT-000073,2025-11-23,SareeStreet,PST-00555,CAM-2512-018,FIT20,Smart Lamp,3998.0,4,Indore,Tier 1,Yes,1,No,Refunded,paid_social,92,
EVT-000074,2025-11-15,SareeStreet,PST-00599,UNKNOWN-CAM,,Gift Card,798.0,2,Bengaluru,Tier 1,Unknown,7,No,Paid,Instagram,74,Coupon mismatch
EVT-000075,2025-11-04,GlowKart,PST-00072,,,Smart Lamp,7497.0,2,Chennai,Metro,yes,3,No,Paid,instagram,98,Manual entry
EVT-000076,2026-02-12,ByteBazaar,PST-00647,CAM-2509-051,BYT22,Combo Pack,5999.0,1,Bengaluru,Tier 3,,1,No,Failed,ig_reels,59,Late attribution
EVT-000077,2026-03-02,FitFuel India,PST-00195,,,Protein Bar,1499.0,3,Bengaluru,Tier 2,yes,30,No,Failed,Instagram,93,
EVT-000078,2025-09-11,CafeCanvas,PST-00370,,,Cold Brew,1198.0,4,Kolkata,Tier 2,,3,Yes,Pending,paid_social,78,
EVT-000079,2026-02-21,ByteBazaar,PST-00565,UNKNOWN-CAM,,Dog Treats,11998.0,1,Lucknow,Metro,,1,Yes,Paid,paid_social,16,Late attribution
EVT-000080,2025-12-14,CafeCanvas,PST-00107,UNKNOWN-CAM,,Silk Saree,4998.0,4,Hyderabad,Metro,yes,30,No,Paid,Instagram,13,Late attribution
EVT-000081,2026-02-04,SareeStreet,PST-00469,CAM-2511-010,,Gift Card,399.0,3,Pune,Metro,yes,1,No,Failed,ig_reels,19,Coupon mismatch
EVT-000082,2025-09-04,GlowKart,PST-00222,CAM-2509-029,SAR31,Serum A,399.0,2,Lucknow,Tier 3,No,30,No,Pending,bio_link,71,
EVT-000083,2025-09-20,CafeCanvas,PST-00056,CAM-2510-001,,Silk Saree,1797.0,2,Lucknow,Metro,Unknown,1,Yes,Refunded,instagram,2,
EVT-000084,2026-01-20,GlowKart,PST-00226,UNKNOWN-CAM,,Cold Brew,1999.0,1,Bengaluru,Tier 2,,1,No,Failed,paid_social,96,Late attribution
EVT-000085,2025-08-04,UrbanPaws,PST-00269,,,Silk Saree,1797.0,1,Pune,Tier 2,Yes,3,No,Failed,bio_link,35,Late attribution
EVT-000086,2025-08-06,CafeCanvas,PST-00132,,,Combo Pack,2997.0,1,Lucknow,Tier 2,,7,Yes,Refunded,influencer,53,Coupon mismatch
EVT-000087,2025-11-07,SareeStreet,PST-00038,CAM-2510-009,FIT30,Gift Card,3998.0,2,Pune,Tier 3,Unknown,14,Yes,Failed,ig_reels,67,
EVT-000088,2025-12-23,UrbanPaws,PST-00623,CAM-2510-021,,Serum A,3999.0,1,Mumbai,Metro,yes,14,No,Pending,paid_social,36,Late attribution
EVT-000089,2025-12-19,UrbanPaws,PST-00049,,BADCODE,Smart Lamp,798.0,4,Mumbai,Tier 2,No,30,Yes,Failed,instagram,72,Coupon mismatch
EVT-000090,2025-08-13,GlowKart,PST-00575,CAM-2510-028,GLO12,Gift Card,5997.0,3,Hyderabad,Metro,Yes,7,Yes,Refunded,,23,
EVT-000091,2025-11-15,GlowKart,PST-00297,CAM-2507-058,CAF36,Protein Bar,1198.0,2,Mumbai,Tier 1,,1,Yes,Paid,Instagram,46,Late attribution
EVT-000092,2025-09-20,ByteBazaar,PST-00361,UNKNOWN-CAM,,Smart Lamp,11998.0,4,Jaipur,Tier 3,No,30,No,Failed,bio_link,55,Manual entry
EVT-000093,2025-07-22,CafeCanvas,PST-00537,UNKNOWN-CAM,,Protein Bar,3999.0,4,Pune,Metro,Yes,30,No,Pending,ig_reels,59,Coupon mismatch
EVT-000094,2025-08-20,ByteBazaar,PST-00012,CAM-2511-049,FIT23,Serum A,799.0,4,Kolkata,Tier 1,No,45,Yes,Paid,influencer,30,Late attribution
EVT-000095,2025-11-06,GlowKart,PST-00273,CAM-2510-042,CAF19,Gift Card,7497.0,3,Bengaluru,Tier 1,yes,30,No,Failed,paid_social,92,
EVT-000096,2026-01-09,GlowKart,PST-00250,CAM-2508-035,FIT31,Cold Brew,1499.0,3,Indore,Tier 1,,1,Yes,Refunded,paid_social,28,Manual entry
EVT-000097,2025-09-21,CafeCanvas,PST-00313,CAM-2511-014,SAR20,Smart Lamp,11997.0,1,Pune,Tier 1,No,30,No,Paid,bio_link,56,Coupon mismatch
EVT-000098,2025-08-03,SareeStreet,PST-00064,,,Cold Brew,17997.0,2,Lucknow,Tier 2,Unknown,7,Yes,Refunded,,48,Coupon mismatch
EVT-000099,2025-12-21,CafeCanvas,PST-00412,UNKNOWN-CAM,INSTA10,Dog Treats,599.0,2,Delhi NCR,Tier 1,No,14,No,Refunded,ig_reels,85,Coupon mismatch
EVT-000100,2025-08-16,FitFuel India,PST-00530,CAM-2510-054,URB11,Protein Bar,3999.0,2,Chennai,Tier 1,,1,Yes,Paid,paid_social,83,Late attribution
EVT-000101,2025-12-12,GlowKart,PST-00068,UNKNOWN-CAM,,Smart Lamp,1598.0,2,Jaipur,Tier 1,No,7,Yes,Failed,,46,Late attribution
EVT-000102,2025-12-31,FitFuel India,PST-00306,CAM-2512-017,URB30,Dog Treats,1999.0,4,Lucknow,Tier 2,Yes,45,No,Paid,bio_link,72,Late attribution
EVT-000103,2025-09-23,SareeStreet,PST-00196,UNKNOWN-CAM,,Gift Card,3999.0,1,Kolkata,Tier 3,No,3,No,Refunded,ig_reels,19,Manual entry
EVT-000104,2025-12-25,ByteBazaar,PST-00140,UNKNOWN-CAM,,Serum A,399.0,2,Lucknow,Tier 1,No,1,Yes,Paid,influencer,50,Manual entry
EVT-000105,2025-09-09,CafeCanvas,PST-00313,UNKNOWN-CAM,INSTA10,Combo Pack,3998.0,1,Jaipur,Tier 3,yes,30,No,Paid,influencer,15,
EVT-000106,2025-11-26,FitFuel India,PST-00206,CAM-2511-049,,Combo Pack,1797.0,4,Lucknow,Tier 2,Unknown,3,No,Failed,,81,Coupon mismatch
EVT-000107,2025-08-10,FitFuel India,PST-00170,CAM-2509-050,CAF11,Gift Card,798.0,4,Indore,Tier 1,No,3,No,Pending,,15,
EVT-000108,2025-11-07,GlowKart,PST-00314,CAM-2512-018,FIT20,Protein Bar,5997.0,3,Mumbai,Metro,Yes,14,No,Paid,paid_social,80,Late attribution
EVT-000109,2026-02-04,GlowKart,PST-00465,CAM-2510-045,,Serum A,2998.0,3,Bengaluru,Tier 1,,45,No,Failed,influencer,16,Manual entry
EVT-000111,2025-10-31,ByteBazaar,PST-00243,CAM-2510-007,WELCOME,Gift Card,3998.0,2,Pune,Metro,yes,3,No,Paid,influencer,46,
EVT-000112,2025-10-26,SareeStreet,PST-00573,CAM-2510-009,FIT30,Cold Brew,399.0,4,Lucknow,Tier 3,yes,45,No,Pending,paid_social,64,
EVT-000113,2026-02-23,CafeCanvas,PST-00131,UNKNOWN-CAM,,Cold Brew,1198.0,1,Chennai,Tier 1,,14,No,Paid,bio_link,13,Manual entry
EVT-000114,2025-08-11,ByteBazaar,PST-00311,CAM-2507-003,GLO18,Gift Card,3999.0,1,Delhi NCR,Metro,yes,45,No,Paid,influencer,1,Manual entry
EVT-000115,2026-01-26,FitFuel India,PST-00157,,,Protein Bar,999.0,3,Hyderabad,Tier 3,No,14,No,Refunded,bio_link,68,
EVT-000116,2025-07-23,ByteBazaar,PST-00624,UNKNOWN-CAM,,Dog Treats,2397.0,4,Delhi NCR,Tier 1,Yes,7,No,Pending,paid_social,86,Manual entry
EVT-000117,2026-02-27,SareeStreet,PST-00076,UNKNOWN-CAM,BADCODE,Serum A,1499.0,4,Chennai,Metro,Unknown,1,No,Paid,bio_link,22,
EVT-000118,2026-01-05,FitFuel India,PST-00058,CAM-2510-004,GLO18,Protein Bar,7497.0,4,Mumbai,Tier 3,Unknown,14,No,Paid,Instagram,77,Coupon mismatch
EVT-000119,2025-08-27,ByteBazaar,PST-00639,CAM-2507-034,INSTA10,Cold Brew,1598.0,3,Mumbai,Tier 2,Unknown,45,Yes,Paid,ig_reels,28,Manual entry
EVT-000120,2026-02-11,SareeStreet,PST-00166,UNKNOWN-CAM,,Smart Lamp,1998.0,4,Kolkata,Tier 3,No,14,No,Refunded,Instagram,44,Late attribution
EVT-000121,2025-10-16,GlowKart,PST-00186,CAM-2508-024,,Serum A,1499.0,2,Indore,Tier 2,Yes,3,No,Refunded,influencer,23,Manual entry
EVT-000122,2025-12-31,SareeStreet,PST-00261,CAM-2508-027,FIT17,Combo Pack,7998.0,3,Lucknow,Metro,Yes,7,Yes,Failed,influencer,54,
EVT-000123,2025-08-09,UrbanPaws,PST-00163,CAM-2511-010,INSTA10,Serum A,5997.0,3,Jaipur,Tier 3,,3,Yes,Pending,influencer,39,
EVT-000124,2026-01-31,GlowKart,PST-00454,,,Serum A,3999.0,1,Pune,Tier 1,Unknown,7,No,Refunded,ig_reels,100,
EVT-000125,2026-02-18,ByteBazaar,PST-00054,CAM-2511-053,,Combo Pack,799.0,4,Lucknow,Tier 3,Unknown,14,No,Paid,,20,Manual entry
EVT-000126,2025-11-17,FitFuel India,PST-00429,,,Combo Pack,2997.0,4,Pune,Metro,No,7,Yes,Pending,ig_reels,54,
EVT-000127,2025-11-09,GlowKart,PST-00059,CAM-2511-044,WELCOME,Silk Saree,1197.0,4,Bengaluru,Metro,Yes,7,Yes,Paid,,1,Late attribution
EVT-000128,2025-09-27,CafeCanvas,PST-00617,,,Gift Card,1198.0,3,Indore,Tier 3,Unknown,1,Yes,Paid,bio_link,78,Late attribution
EVT-000129,2025-12-03,CafeCanvas,PST-00337,UNKNOWN-CAM,,Smart Lamp,1198.0,1,Hyderabad,Tier 3,Yes,30,No,Paid,instagram,85,Manual entry
EVT-000130,2025-11-09,SareeStreet,PST-00498,CAM-2511-041,SAR26,Gift Card,7998.0,3,Chennai,Tier 2,,3,No,Failed,,52,Manual entry
EVT-000131,2025-12-26,ByteBazaar,PST-00155,CAM-2508-024,BYT38,Serum A,2397.0,3,Delhi NCR,Metro,,14,No,Paid,,61,Manual entry
EVT-000132,2025-08-19,UrbanPaws,PST-00269,,BADCODE,Combo Pack,999.0,3,Bengaluru,Tier 2,Unknown,1,No,Refunded,,3,Late attribution
EVT-000133,2025-09-06,ByteBazaar,PST-00172,UNKNOWN-CAM,,Gift Card,1999.0,4,Lucknow,Tier 3,yes,14,No,Paid,influencer,49,Manual entry
EVT-000134,2026-03-09,FitFuel India,PST-00002,CAM-2511-041,SAR26,Smart Lamp,1198.0,2,Jaipur,Tier 1,Unknown,1,Yes,Paid,influencer,77,Manual entry
EVT-000135,2025-11-02,ByteBazaar,PST-00645,CAM-2510-045,,Combo Pack,5997.0,2,Pune,Metro,,1,Yes,Failed,influencer,96,Coupon mismatch
EVT-000136,2025-08-11,FitFuel India,PST-00209,UNKNOWN-CAM,,Combo Pack,3999.0,3,Mumbai,Metro,,1,No,Refunded,influencer,13,Late attribution
EVT-000137,2025-12-11,UrbanPaws,PST-00031,,,Cold Brew,3999.0,3,Chennai,Metro,No,30,No,Paid,,37,
EVT-000138,2026-03-11,SareeStreet,PST-00395,CAM-2512-032,FIT12,Gift Card,399.0,1,Lucknow,Metro,Unknown,7,No,Failed,instagram,65,
EVT-000139,2025-12-02,FitFuel India,PST-00212,CAM-2511-041,SAR26,Combo Pack,2997.0,3,Delhi NCR,Tier 3,No,30,No,Pending,paid_social,40,
EVT-000140,2025-09-07,GlowKart,PST-00347,CAM-2509-055,CAF39,Serum A,1198.0,3,Pune,Metro,No,14,No,Pending,paid_social,69,Coupon mismatch
EVT-000141,2025-12-07,GlowKart,PST-00276,,,Combo Pack,5997.0,2,Kolkata,Metro,yes,3,Yes,Failed,paid_social,40,Coupon mismatch
EVT-000142,2025-12-14,GlowKart,PST-00515,UNKNOWN-CAM,,Silk Saree,1598.0,2,Delhi NCR,Metro,yes,45,Yes,Refunded,ig_reels,15,Coupon mismatch
EVT-000143,2025-10-19,SareeStreet,PST-00214,CAM-2508-002,,Smart Lamp,1197.0,4,Delhi NCR,Tier 2,Yes,1,Yes,Failed,influencer,74,Manual entry
EVT-000144,2025-09-02,ByteBazaar,PST-00208,UNKNOWN-CAM,,Protein Bar,1999.0,1,Indore,Metro,Unknown,30,Yes,Paid,Instagram,61,Coupon mismatch
EVT-000145,2025-12-23,UrbanPaws,PST-00317,UNKNOWN-CAM,,Dog Treats,1198.0,3,Mumbai,Metro,yes,30,No,Paid,ig_reels,55,
EVT-000146,2026-03-05,UrbanPaws,PST-00506,UNKNOWN-CAM,,Smart Lamp,4998.0,2,Mumbai,Metro,,14,Yes,Paid,instagram,18,Manual entry
EVT-000147,2025-09-05,GlowKart,PST-00071,CAM-2508-024,BYT38,Smart Lamp,7497.0,4,Chennai,Tier 2,,7,Yes,Pending,influencer,20,Manual entry
EVT-000148,2025-10-29,SareeStreet,PST-00108,,,Smart Lamp,5997.0,3,Bengaluru,Tier 1,No,14,No,Failed,Instagram,60,
EVT-000149,2025-07-28,CafeCanvas,PST-00460,CAM-2512-043,,Smart Lamp,1998.0,3,Delhi NCR,Tier 2,Unknown,1,Yes,Refunded,bio_link,55,Late attribution
EVT-000150,2025-08-15,FitFuel India,PST-00170,UNKNOWN-CAM,,Dog Treats,17997.0,1,Hyderabad,Tier 1,Yes,30,No,Refunded,Instagram,65,Manual entry
EVT-000151,2025-08-08,UrbanPaws,PST-00644,UNKNOWN-CAM,,Protein Bar,1499.0,1,Bengaluru,Tier 3,,45,Yes,Refunded,Instagram,72,Manual entry
EVT-000152,2025-10-24,SareeStreet,PST-00450,CAM-2508-057,BYT14,Silk Saree,1198.0,2,Bengaluru,Tier 1,Yes,1,No,Paid,instagram,88,Manual entry
EVT-000153,2026-01-24,FitFuel India,PST-00058,,INSTA10,Protein Bar,2499.0,2,Mumbai,Metro,Yes,7,No,Refunded,,92,Late attribution
EVT-000154,2025-08-03,GlowKart,PST-00100,UNKNOWN-CAM,,Combo Pack,2397.0,3,Chennai,Tier 3,yes,3,No,Pending,ig_reels,18,Coupon mismatch
EVT-000155,2025-08-03,ByteBazaar,PST-00194,UNKNOWN-CAM,,Combo Pack,1598.0,4,Kolkata,Tier 3,No,14,No,Paid,ig_reels,20,Manual entry
EVT-000156,2026-01-05,CafeCanvas,PST-00538,,,Combo Pack,4497.0,4,Chennai,Tier 1,Yes,45,No,Pending,,88,
EVT-000157,2025-09-06,CafeCanvas,PST-00279,CAM-2509-011,SAR37,Serum A,4497.0,4,Indore,Tier 2,No,3,No,Paid,influencer,22,
EVT-000158,2025-08-19,CafeCanvas,PST-00097,CAM-2508-005,FIT22,Protein Bar,2998.0,4,Kolkata,Metro,,30,No,Paid,bio_link,63,Late attribution
EVT-000159,2026-01-06,SareeStreet,PST-00527,,,Serum A,17997.0,4,Jaipur,Metro,yes,14,No,Pending,,11,Coupon mismatch
EVT-000160,2025-10-29,SareeStreet,PST-00357,CAM-2508-047,GLO17,Cold Brew,2499.0,1,Hyderabad,Metro,yes,14,No,Pending,instagram,32,Manual entry
EVT-000161,2025-11-05,ByteBazaar,PST-00613,,,Gift Card,4998.0,4,Hyderabad,Tier 3,Unknown,7,No,Failed,bio_link,38,
EVT-000162,2025-12-20,CafeCanvas,PST-00478,,,Combo Pack,2997.0,2,Lucknow,Metro,Yes,30,No,Paid,bio_link,29,Manual entry
